Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;FF Mcap (MEUR);Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20240301;SXXP;STOXX Europe 600;EU0009658202;724037;SE0000862997;BILL.ST;BILLERUD;SE;SEK;NASDAQ Stockholm;;1730.19338375963;657;644;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB103V;GB0007323586;RSW.L;RENISHAW;GB;GBP;London SE;;1728.95874669655;658;737;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B1CKQ7;GB00B1CKQ739;DNLM.L;DUNELM GROUP;GB;GBP;London SE;;1728.91950634117;659;678;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;061403;GB00B2NGPM57;PAGPA.L;Paragon Banking Group PLC;GB;GBP;London SE;;1721.60236984587;660;632;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;482110;BE0003470755;SOLB.BR;SOLVAY;BE;EUR;Euronext Brussels;;1721.5134674144;661;635;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB90JJ;GB00BKDTK925;TRNT.L;TRAINLINE PLC;GB;GBP;London SE;;1721.06314396724;662;641;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB10QI;GB00BMBVGQ36;HBR.L;HARBOUR ENERGY;GB;GBP;London SE;;1714.62534422959;663;591;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH7044;CH0371153492;LANDI.S;LANDIS GYR GROUP AG;CH;CHF;Six Swiss Exchange;;1713.80807017295;664;680;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;PL10CN;PLKRK0000010;KRU.WA;KRUK;PL;PLN;Warsaw SE;;1712.58831504878;665;640;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH90GI;CH0002178181;SRAIL.S;STADLER RAIL AG;CH;CHF;Six Swiss Exchange;;1702.949745525;666;660;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;528648;CH0014786500;VATN.S;VALIANT;CH;CHF;Six Swiss Exchange;;1700.39533195825;667;657;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB701Z;GB0004270301;HILS.L;HILL & SMITH;GB;GBP;London SE;;1699.92895317521;668;654;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B17641;CH0025536027;BCHN.S;BURCKHARDT CMPSN.HLDG.;CH;CHF;Six Swiss Exchange;;1689.68069280986;669;689;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NO20FS;NO0011202772;VAR.OL;VAR ENERGI;NO;NOK;Oslo Bors;;1679.54046362943;670;687;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE50GC;DE000A13SX22;HLE.DE;HELLA;DE;EUR;XETRA;;1671.21890225864;671;669;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;097474;JE00BYVQYS01;IWG.L;IWG PLC;GB;GBP;London SE;;1667.01500214616;672;666;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B1YWXY;BE0003867844;KBCA.BR;KBC ANCORA;BE;EUR;Euronext Brussels;;1662.73869610867;673;679;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NL121C;NL00150006R6;CTPNV.AS;CTP NV;NL;EUR;Euronext Amsterdam;;1660.98749483582;674;656;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NO101D;NO0006390301;MING.OL;SPAREBANK 1 SMN;NO;NOK;Oslo Bors;;1652.36242011524;675;676;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;007100;JE00BMDZN391;TCAPI.L;TP ICAP;GB;GBP;London SE;;1650.17081367751;676;658;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;408948;BE0974258874;BEKB.BR;BEKAERT;BE;EUR;Euronext Brussels;;1647.19804265702;677;712;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DK1031;DK0015998017;BAVA.CO;BAVARIAN NORDIC;DK;DKK;NASDAQ Copenhagen;;1632.97649536273;678;673;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB8065;GB00BG12Y042;ENOG.L;ENERGEAN PLC;GB;GBP;London SE;;1629.35076737053;679;715;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB90GG;GB00BYT18307;TBCG.L;TBC BANK GROUP;GB;GBP;London SE;;1613.58685196473;680;688;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;042364;GB0004657408;MTO.L;MITIE GROUP;GB;GBP;London SE;;1609.40117819935;681;695;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE001W;DE0007493991;SAXG.DE;STROEER;DE;EUR;XETRA;;1609.31970799582;682;667;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE50JU;SE0007491303;BRAV.ST;BRAVIDA HOLDING AB;SE;SEK;NASDAQ Stockholm;;1605.08830933423;683;728;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE50IT;SE0016101844;SINCH.ST;SINCH;SE;SEK;NASDAQ Stockholm;;1594.35624942384;684;617;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B29F9S;ES0157261019;ROVI.MC;LBOS.FARMACEUTICOS ROVI;ES;EUR;BME Exchange;;1589.95882927538;685;746;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;EW059;PLPGER000010;PGE.WA;PGE;PL;PLN;Warsaw SE;;1587.45832158122;686;668;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;492109;CH0012335540;VONN.S;VONTOBEL;CH;CHF;Six Swiss Exchange;;1583.48758929952;687;661;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;466514;FI0009002422;OUT1V.HE;OUTOKUMPU;FI;EUR;NASDAQ Helsinki;;1580.13911273608;688;708;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;050840;GB00B82YXW83;VSVS.L;VESUVIUS;GB;GBP;London SE;;1577.48545186673;689;696;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;521638;PLKETY000011;KTY.WA;KETY;PL;PLN;Warsaw SE;;1576.49365085096;690;711;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB21IC;IL0011284465;PLUSP.L;PLUS500;GB;GBP;London SE;;1572.98387760182;691;672;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE5051;DE000WAF3001;WAFGn.DE;SILTRONIC;DE;EUR;XETRA;;1568.16;692;723;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;415265;SE0000195810;BURE.ST;BURE EQUITY;SE;SEK;NASDAQ Stockholm;;1566.52818249789;693;740;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;534433;BE0165385973;MLXS.BR;MELEXIS;BE;EUR;Euronext Brussels;;1566.265984;694;684;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB10TL;GB00BNC5T391;ROO.L;DELIVEROO A;GB;GBP;London SE;;1564.20619324693;695;702;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;FI908E;FI4000198031;QTCOM.HE;QT GROUP;FI;EUR;NASDAQ Helsinki;;1560.33283744957;696;755;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;777713;GB00B135BJ46;SVS.L;SAVILLS;GB;GBP;London SE;;1556.97989198278;697;662;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB6030;GB00BYM8GJ06;ASCL.L;ASCENTIAL PLC;GB;GBP;London SE;;1550.67063248185;698;691;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;409590;FR0000120966;BICP.PA;BIC;FR;EUR;Euronext Paris;;1547.86378495296;699;704;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;BE109Z;BE0003816338;EUAV.BR;EURONAV;BE;EUR;Euronext Brussels;;1541.37586610597;700;705;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB4061;GB00BJ62K685;PETSP.L;PETS AT HOME PLC;GB;GBP;London SE;;1538.14988438613;701;693;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;EY024;CH0043238366;ARYN.S;ARYZTA;CH;CHF;Six Swiss Exchange;;1532.84268103825;702;698;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;B1HP07;SE0001852419;LIAB.ST;LINDAB INTERNATIONAL;SE;SEK;NASDAQ Stockholm;;1529.32979041836;703;742;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;552388;DE0006335003;KRNG.DE;KRONES;DE;EUR;XETRA;;1520.2681025616;704;707;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH908A;CH0024590272;ALSN.S;ALSO HOLDING;CH;CHF;Six Swiss Exchange;;1520.20001181372;705;664;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB40YT;IM00B7S9G985;PTEC.L;PLAYTECH;GB;GBP;London SE;;1516.9679208913;706;709;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;DE404Z;DE000STAB1L8;STM1.DE;STABILUS;DE;EUR;XETRA;;1506.7;707;686;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;681441;DE000A2NB601;JENGn.DE;JENOPTIK;DE;EUR;XETRA;;1488.522971067;708;717;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;492670;ES0182870214;SCYR.MC;SACYR;ES;EUR;BME Exchange;;1485.60745074394;709;714;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH90AC;CH0100837282;KARN.S;KARDEX 'B';CH;CHF;Six Swiss Exchange;;1484.65665487775;710;731;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB30KE;GB00BMWRZ071;DWL.L;DOWLAIS GROUP;GB;GBP;London SE;;1478.12416344901;711;720;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;ES405F;ES0105027009;LOG.MC;LOGISTA;ES;EUR;BME Exchange;;1476.954729;712;697;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;ES402C;ES0105022000;APPS.MC;Applus Services;ES;EUR;BME Exchange;;1471.4451162;713;726;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;SE13Y8;SE0016828511;EMBRACb.ST;EMBRACER GROUP;SE;SEK;NASDAQ Stockholm;;1462.15388374762;714;690;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;705041;CH0011795959;DOKA.S;dorma+kaba;CH;CHF;Six Swiss Exchange;;1459.26217991221;715;736;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NO14Q6;BMG0670A1099;AUTO.OL;AUTOSTORE HOLDINGS;NO;NOK;Oslo Bors;;1454.68253683974;716;671;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;491603;FR001400J770;AIRF.PA;AIR FRANCE-KLM;FR;EUR;Euronext Paris;;1450.43817249749;717;681;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;096970;GB0009697037;BAB.L;BABCOCK INTERNATIONAL;GB;GBP;London SE;;1447.34799438929;718;750;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB60UR;GB00BVGBWW93;AGRP.L;ASSURA;GB;GBP;London SE;;1444.28822913717;719;701;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;CH8012;CH0030486770;DAE.S;DAETWYLER 'I';CH;CHF;Six Swiss Exchange;;1442.10212338903;720;732;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;GB10RJ;GB00BMH18Q19;BYIT.L;BYTES TECHNOLOGY GROUP;GB;GBP;London SE;;1442.01691363901;721;663;;;
20240301;SXXP;STOXX Europe 600;EU0009658202;NL607L;NL0000852523;TWKNc.AS;TKH GROUP;NL;EUR;Euronext Amsterdam;;1438.35159778947;722;739;;;
